run,t_stat,p_value,cohens_d,fixed_mean_ns,varied_mean_ns,fixed_std_ns,varied_std_ns,significant,negligible
4740,-0.821788,0.41120893,-0.011622,294883.98,294929.97,2992.46,4729.33,no,yes
4741,-0.322884,0.74678653,-0.004566,295050.66,295061.93,2179.47,2729.87,no,yes
4742,0.893927,0.37137327,0.012642,295117.70,295067.58,4626.62,3167.15,no,yes
4743,-0.996521,0.31901027,-0.014093,294733.60,294749.40,927.84,1285.30,no,yes
4744,0.023962,0.98088347,0.000339,294985.04,294984.65,1214.98,1095.51,no,yes
4745,-1.235362,0.21671111,-0.017471,294897.70,294914.19,831.18,1045.01,no,yes
4746,-0.441496,0.65885848,-0.006244,295065.43,295075.78,1584.83,1727.69,no,yes
4747,-1.601758,0.10922493,-0.022652,294703.15,294725.13,934.62,1004.92,no,yes
4748,-0.571251,0.56783625,-0.008079,294915.83,294937.57,2432.75,2926.42,no,yes
4749,0.303896,0.76121040,0.004298,295154.42,295144.56,2437.48,2142.22,no,yes
4750,0.323876,0.74603553,0.004580,294829.85,294825.88,860.04,873.59,no,yes
4751,0.593992,0.55252401,0.008400,294919.75,294912.19,927.39,871.23,no,yes
4752,-0.193152,0.84684166,-0.002732,294919.09,294927.77,3156.65,3196.89,no,yes
4753,-0.153618,0.87791239,-0.002172,294811.90,294819.68,3778.85,3370.20,no,yes
4754,-0.401227,0.68825717,-0.005674,295016.15,295024.01,1364.73,1407.94,no,yes
4755,0.607571,0.54347901,0.008592,294817.38,294808.64,1004.77,1029.17,no,yes
4756,0.527318,0.59797899,0.007457,294923.81,294906.69,2389.24,2198.68,no,yes
4757,-0.738251,0.46037035,-0.010440,295065.53,295081.64,1497.53,1587.88,no,yes
4758,0.219102,0.82657305,0.003099,295467.68,295461.99,1766.41,1904.63,no,yes
4759,-1.304339,0.19213339,-0.018446,294723.24,294741.27,889.53,1058.05,no,yes
4760,-1.508130,0.13153729,-0.021328,294764.51,294788.31,1041.59,1184.92,no,yes
4761,1.422341,0.15494337,0.020115,294973.74,294951.97,1170.32,987.39,no,yes
4762,-0.627925,0.53006008,-0.008880,294737.14,294759.32,2411.60,2580.59,no,yes
4763,0.469655,0.63860653,0.006642,295189.96,295182.96,1107.85,994.61,no,yes
4764,0.330948,0.74068738,0.004680,294864.22,294859.90,947.50,895.01,no,yes
4765,0.473358,0.63596270,0.006694,295084.93,295078.09,1072.30,969.20,no,yes
4766,-0.420705,0.67397486,-0.005950,294981.40,294987.26,967.74,1001.63,no,yes
4767,-0.245075,0.80640115,-0.003466,294881.68,294887.46,1869.91,1441.23,no,yes
4768,-0.524754,0.59976000,-0.007421,294869.10,294877.22,1084.29,1102.63,no,yes
4769,-0.050452,0.95976307,-0.000713,303767.57,303768.27,994.62,954.53,no,yes
4770,-0.968975,0.33256957,-0.013703,294845.46,294879.11,2403.11,2507.88,no,yes
4771,-0.091855,0.92681435,-0.001299,294885.20,294886.57,1094.00,1014.88,no,yes
4772,0.071815,0.94275015,0.001016,295045.01,295043.73,1271.56,1249.98,no,yes
4773,0.245123,0.80636347,0.003467,295093.76,295088.28,1627.86,1532.80,no,yes
4774,0.246439,0.80534516,0.003485,295057.90,295051.50,2073.00,1566.12,no,yes
4775,-0.355713,0.72205939,-0.005031,294857.31,294869.62,2582.72,2304.80,no,yes
4776,0.210035,0.83364245,0.002970,294790.91,294785.61,2072.93,1440.56,no,yes
4777,-1.407845,0.15919347,-0.019910,295019.11,295038.97,863.59,1115.87,no,yes
4778,-1.499022,0.13388465,-0.021199,294781.40,294802.91,881.88,1131.56,no,yes
4779,0.643495,0.51991034,0.009100,295049.40,295040.99,945.64,902.53,no,yes
4780,-0.915538,0.35992037,-0.012948,295083.41,295100.84,1275.15,1413.00,no,yes
4781,0.019158,0.98471506,0.000271,294974.32,294974.02,1100.21,1121.59,no,yes
4782,0.254298,0.79926790,0.003596,294925.32,294921.07,1169.16,1199.02,no,yes
4783,-0.194504,0.84578329,-0.002751,295088.84,295091.53,938.94,1021.51,no,yes
4784,-0.184070,0.85396017,-0.002603,294821.36,294825.53,1795.48,1383.07,no,yes
4785,-0.733016,0.46355749,-0.010366,295062.84,295073.68,989.03,1099.83,no,yes
4786,-0.972900,0.33061497,-0.013759,294898.66,294912.01,913.84,1023.26,no,yes
4787,0.681155,0.49578165,0.009633,294947.60,294937.76,1138.08,887.86,no,yes
4788,-0.287346,0.77385063,-0.004064,295001.77,295005.38,865.95,910.35,no,yes
4789,0.357649,0.72060968,0.005058,294906.59,294897.63,1661.42,1876.32,no,yes
4790,-0.759881,0.44733521,-0.010746,294729.20,294753.02,1978.02,2431.55,no,yes
4791,-0.732619,0.46380028,-0.010361,295778.43,295791.39,1016.78,1447.77,no,yes
4792,-0.466220,0.64106342,-0.006593,295186.22,295199.60,1779.38,2252.12,no,yes
4793,0.278906,0.78031975,0.003944,295031.21,295026.76,1213.13,1036.12,no,yes
4794,-0.950336,0.34195334,-0.013440,294717.64,294735.39,1195.50,1433.97,no,yes
4795,-0.582456,0.56026748,-0.008237,294944.69,294978.49,3113.80,4897.66,no,yes
