run,type,time_ns
273,random,292928
274,fixed,293316
274,random,292919
275,fixed,294643
275,random,292858
276,fixed,293213
276,random,294295
277,fixed,292924
277,random,293035
278,fixed,293978
278,random,293057
279,fixed,293150
279,random,313032
280,fixed,294610
280,random,293078
281,fixed,293194
281,random,293715
282,fixed,292774
282,random,293190
283,fixed,293396
283,random,294622
284,fixed,293249
284,random,293315
285,fixed,294244
285,random,292948
286,fixed,293168
286,random,294160
287,fixed,292768
287,random,292874
288,fixed,292600
288,random,293975
289,fixed,293091
289,random,293404
290,fixed,294803
290,random,293051
291,fixed,293475
291,random,293360
292,fixed,294022
292,random,292960
293,fixed,292941
293,random,295320
294,fixed,293254
294,random,293374
295,fixed,294486
295,random,293193
296,fixed,293311
296,random,293601
297,fixed,294346
297,random,292723
298,fixed,293409
298,random,294753
299,fixed,292962
299,random,293221
300,fixed,292850
300,random,293508
301,fixed,292458
301,random,292701
302,fixed,293900
302,random,292455
303,fixed,292480
303,random,293899
304,fixed,293549
304,random,293064
305,fixed,293112
305,random,294911
306,fixed,293157
306,random,293213
307,fixed,314470
307,random,293248
308,fixed,292946
308,random,293078
309,fixed,295046
309,random,293196
310,fixed,293633
310,random,294905
311,fixed,293431
311,random,293343
312,fixed,294614
312,random,293228
313,fixed,292831
313,random,292884
314,fixed,295019
314,random,292919
315,fixed,293332
315,random,294172
316,fixed,293077
316,random,293072
317,fixed,293036
317,random,294831
318,fixed,293337
318,random,293454
319,fixed,294281
319,random,292235
320,fixed,293010
320,random,294201
321,fixed,293058
321,random,293127
322,fixed,292961
322,random,294219
323,fixed,293291
323,random,293139
324,fixed,294220
324,random,293095
325,fixed,292813
325,random,292719
326,fixed,293736
326,random,292294
327,fixed,292479
327,random,293834
328,fixed,293108
328,random,293146
329,fixed,294240
329,random,292615
330,fixed,292822
330,random,293132
331,fixed,294134
331,random,293000
332,fixed,292902
332,random,294290
333,fixed,293183
333,random,292966
334,fixed,292902
334,random,293843
335,fixed,293031
335,random,292835
336,fixed,311737
336,random,301435
337,fixed,293376
337,random,297197
338,fixed,293466
338,random,294154
339,fixed,292673
339,random,294528
340,fixed,292803
340,random,292976
341,fixed,295344
341,random,293145
342,fixed,293383
342,random,294139
343,fixed,292871
343,random,292986
344,fixed,292759
344,random,294238
345,fixed,293436
345,random,293353
346,fixed,295146
346,random,293284
347,fixed,293544
347,random,293354
348,fixed,294411
348,random,293175
349,fixed,292947
349,random,294299
350,fixed,292144
350,random,292220
351,fixed,293484
351,random,292717
352,fixed,293240
352,random,293114
353,fixed,293412
353,random,292458
354,fixed,292241
354,random,295544
355,fixed,295140
355,random,292917
356,fixed,292944
356,random,294140
357,fixed,292951
357,random,292874
358,fixed,294228
358,random,292639
359,fixed,292689
359,random,294124
360,fixed,293321
360,random,293346
361,fixed,293256
361,random,294560
362,fixed,292850
362,random,292941
363,fixed,294057
363,random,292555
364,fixed,292424
364,random,292330
365,fixed,294038
365,random,320658
366,fixed,293547
366,random,295473
367,fixed,292976
367,random,293158
368,fixed,294493
368,random,293435
369,fixed,293040
369,random,293073
370,fixed,294133
370,random,292772
