run,t_stat,p_value,cohens_d,fixed_mean_ns,random_mean_ns,fixed_std_ns,random_std_ns,significant,negligible
136,-0.608978,0.54254613,-0.008612,293501.04,293519.31,2053.47,2186.99,no,yes
137,1.637779,0.10148868,0.023162,293702.70,293610.36,4999.87,2605.78,no,yes
138,0.559463,0.57585352,0.007912,293556.86,293542.66,2163.52,1325.73,no,yes
139,1.383270,0.16659799,0.019562,293522.14,293500.84,1162.40,1009.97,no,yes
140,-0.493439,0.62170789,-0.006978,293887.54,293900.15,1760.66,1853.31,no,yes
141,-0.454313,0.64960895,-0.006425,293639.37,293669.83,4270.42,5170.15,no,yes
142,0.753450,0.45118883,0.010655,293427.43,293412.42,1266.33,1538.23,no,yes
143,0.169520,0.86538971,0.002397,293535.16,293530.51,1849.71,2025.87,no,yes
144,0.895152,0.37071659,0.012659,293617.83,293595.62,1794.20,1712.33,no,yes
145,-0.547131,0.58429483,-0.007738,293819.50,293872.99,6264.56,7506.76,no,yes
146,-1.238884,0.21540307,-0.017520,293389.03,293405.91,905.53,1017.32,no,yes
147,-1.560081,0.11876302,-0.022063,295258.97,295337.41,2127.73,4555.13,no,yes
148,0.290914,0.77111991,0.004114,293423.19,293419.56,871.25,893.30,no,yes
149,-0.699371,0.48432859,-0.009891,293270.67,293280.50,944.26,1041.60,no,yes
150,-0.258356,0.79613463,-0.003654,293227.45,293232.22,1275.09,1333.12,no,yes
151,-0.817029,0.41392270,-0.011555,293242.84,293263.46,1479.03,2044.77,no,yes
152,-0.324374,0.74565810,-0.004587,293172.18,293179.60,1596.04,1636.38,no,yes
153,-0.781053,0.43478089,-0.011046,293247.74,293264.44,1328.80,1676.19,no,yes
154,-0.586824,0.55732886,-0.008299,293564.82,293577.65,1381.24,1694.48,no,yes
155,-0.008998,0.99282122,-0.000127,293168.23,293168.39,1357.63,1031.30,no,yes
156,0.854564,0.39280312,0.012085,293293.61,293247.68,4218.32,3330.23,no,yes
157,-0.662951,0.50736994,-0.009376,293237.21,293249.25,1149.82,1404.65,no,yes
158,0.809138,0.41844634,0.011443,293480.89,293440.86,3978.71,2939.69,no,yes
159,-0.263873,0.79188032,-0.003732,293281.20,293293.52,3039.15,3548.37,no,yes
160,-0.942850,0.34577072,-0.013334,293478.60,293496.29,1022.19,1572.70,no,yes
161,-0.728618,0.46624372,-0.010304,293167.89,293182.78,1434.07,1455.81,no,yes
162,-0.285192,0.77549982,-0.004033,306000.52,306013.05,3129.72,3081.20,no,yes
163,0.529596,0.59639847,0.007490,293332.99,293308.07,3820.85,2747.09,no,yes
164,0.859637,0.38999929,0.012157,293638.62,293625.14,1081.82,1134.46,no,yes
165,0.265271,0.79080377,0.003751,293309.38,293295.22,3854.35,3695.38,no,yes
166,0.772297,0.43994780,0.010922,293432.57,293414.90,1699.69,1533.23,no,yes
167,0.283837,0.77653830,0.004014,293576.63,293571.82,1374.04,992.58,no,yes
168,-0.378277,0.70522907,-0.005350,293600.46,293611.54,1964.27,2175.88,no,yes
169,0.845801,0.39767405,0.011961,293384.27,293365.61,1673.39,1436.02,no,yes
170,0.864542,0.38730051,0.012226,293625.79,293603.80,1833.74,1762.20,no,yes
171,-0.438366,0.66112566,-0.006199,293467.41,293490.91,3521.96,4042.67,no,yes
172,1.318943,0.18720438,0.018653,293630.38,293590.49,2427.94,1803.55,no,yes
173,0.055309,0.95589278,0.000782,293445.75,293443.40,3379.07,2588.28,no,yes
174,-0.016561,0.98678686,-0.000234,293362.84,293363.37,2374.43,2145.62,no,yes
175,1.408438,0.15902005,0.019918,293247.38,293210.06,2256.14,1389.39,no,yes
176,1.266972,0.20518678,0.017918,293241.40,293204.39,2668.08,1189.31,no,yes
177,-1.093449,0.27421014,-0.015464,293579.42,293592.74,803.87,916.09,no,yes
178,0.345089,0.73003142,0.004880,293260.59,293246.52,3190.67,2539.57,no,yes
179,-0.194378,0.84588191,-0.002749,293330.40,293339.10,3132.52,3191.87,no,yes
180,0.736433,0.46148002,0.010415,293456.18,293421.29,4387.03,1790.58,no,yes
181,1.306711,0.19132839,0.018480,293267.45,293209.08,3755.27,2419.81,no,yes
182,0.727514,0.46692035,0.010289,293606.17,293574.18,3468.19,2703.88,no,yes
183,0.397608,0.69092377,0.005623,301497.37,301464.47,5946.68,5752.65,no,yes
184,0.625855,0.53141709,0.008851,293609.68,293585.94,2642.76,2722.75,no,yes
185,1.555943,0.11973988,0.022004,293558.48,293533.67,1326.68,884.90,no,yes
186,-0.188941,0.85014137,-0.002672,293174.23,293176.51,806.89,895.72,no,yes
187,0.094258,0.92490521,0.001333,293348.62,293346.54,1589.49,1526.89,no,yes
188,0.470487,0.63801230,0.006654,293672.70,293646.52,4104.79,3757.49,no,yes
189,-0.632687,0.52694543,-0.008948,293349.00,293359.64,1121.75,1251.86,no,yes
190,2.041900,0.04118036,0.028877,293339.30,293284.21,2461.31,1105.52,yes,yes
191,-0.044415,0.96457421,-0.000628,293802.03,293804.21,3460.00,3484.48,no,yes
192,1.739157,0.08202295,0.024595,293620.80,293575.96,1978.86,1652.62,no,yes
193,-0.356868,0.72119473,-0.005047,293780.80,293814.19,6352.46,6871.16,no,yes
194,-0.205518,0.83716931,-0.002906,293347.97,293351.24,1149.63,1099.34,no,yes
195,-0.861504,0.38897195,-0.012184,293471.31,293527.78,3853.36,5303.16,no,yes
196,1.251967,0.21059721,0.017705,293614.49,293583.32,1931.56,1571.29,no,yes
197,-0.021460,0.98287916,-0.000303,293719.10,293720.05,3157.04,3115.27,no,yes
198,-0.103455,0.91760295,-0.001463,293810.46,293819.03,5719.19,5992.14,no,yes
199,0.344673,0.73034394,0.004874,293591.48,293569.72,4711.98,4204.08,no,yes
200,-0.679078,0.49709637,-0.009604,293350.30,293362.39,1167.57,1343.83,no,yes
201,1.717215,0.08595803,0.024285,299071.50,299043.57,1367.17,881.38,no,yes
202,0.036325,0.97102380,0.000514,293408.38,293407.82,1044.20,1132.67,no,yes
203,1.570080,0.11641680,0.022204,293536.95,293454.22,4604.27,2562.68,no,yes
204,-0.230958,0.81734962,-0.003266,293361.97,293374.32,3206.46,4279.90,no,yes
205,1.463173,0.14343629,0.020692,293280.42,293243.01,1966.30,1634.35,no,yes
206,1.084058,0.27835319,0.015331,293513.41,293459.35,3986.28,2995.49,no,yes
207,0.163650,0.87000851,0.002314,293247.08,293244.16,1275.64,1247.67,no,yes
208,-0.124916,0.90059108,-0.001767,293542.41,293548.41,3086.72,3687.50,no,yes
209,2.389548,0.01688060,0.033793,293634.82,293558.16,2774.08,1611.43,yes,yes
210,-1.038776,0.29892186,-0.014691,293182.26,293198.44,1023.84,1173.99,no,yes
211,-0.094780,0.92449087,-0.001340,293413.65,293418.21,2899.88,3842.31,no,yes
212,-0.815429,0.41483733,-0.011532,293335.62,293352.26,1235.65,1623.70,no,yes
213,-1.320706,0.18661852,-0.018678,293258.24,293281.70,871.79,1547.48,no,yes
214,-0.370222,0.71122089,-0.005236,293485.83,293506.88,3835.79,4195.09,no,yes
215,0.102198,0.91860072,0.001445,293231.79,293230.29,1046.96,1029.64,no,yes
216,0.609024,0.54251585,0.008613,293499.29,293483.28,2052.17,1644.63,no,yes
217,0.941627,0.34639691,0.013317,293444.21,293399.03,4045.31,2579.91,no,yes
218,2.796575,0.00517259,0.039550,293583.65,293503.65,2690.96,970.44,yes,yes
219,0.014650,0.98831152,0.000207,293503.39,293502.80,2777.59,2972.48,no,yes
220,0.102218,0.91858456,0.001446,293352.22,293350.55,1160.11,1148.69,no,yes
221,-0.131691,0.89523011,-0.001862,293406.87,293418.28,6061.34,6193.06,no,yes
222,1.115071,0.26483363,0.015769,293264.04,293242.70,1411.68,1291.96,no,yes
223,0.797692,0.42505926,0.011281,293227.53,293206.08,2127.05,1644.93,no,yes
224,-0.808622,0.41874303,-0.011436,293379.97,293399.52,1453.37,1931.76,no,yes
225,-0.234853,0.81432526,-0.003321,293428.51,293433.84,1737.36,1463.32,no,yes
226,-0.310140,0.75645747,-0.004386,293205.36,293212.88,1701.07,1728.70,no,yes
227,-2.183713,0.02900460,-0.030882,293321.33,293431.86,1040.69,4953.47,yes,yes
228,1.104967,0.26918708,0.015627,293321.03,293303.68,1129.70,1090.98,no,yes
229,-0.338575,0.73493387,-0.004788,293506.99,293526.25,3397.25,4562.52,no,yes
230,0.373912,0.70847402,0.005288,293441.78,293432.06,2045.34,1605.82,no,yes
231,-0.286321,0.77463520,-0.004049,293307.94,293316.85,1885.69,2475.18,no,yes
232,0.910644,0.36250086,0.012878,293466.03,293433.84,3348.90,1132.80,no,yes
233,0.956288,0.33893861,0.013524,293432.11,293406.34,2078.68,1714.49,no,yes
234,0.673599,0.50057417,0.009526,293215.64,293204.85,1125.50,1140.03,no,yes
235,0.835184,0.40362421,0.011811,293405.76,293356.24,4485.14,3878.60,no,yes
236,0.711329,0.47688963,0.010060,305989.22,305962.11,3173.75,2110.14,no,yes
237,0.631890,0.52746620,0.008936,293426.87,293414.77,1464.75,1232.78,no,yes
238,-0.793748,0.42735306,-0.011225,293294.14,293309.31,1023.61,1613.51,no,yes
239,-1.204881,0.22826385,-0.017040,293505.41,293519.96,775.82,925.38,no,yes
240,0.906108,0.36488971,0.012814,293174.06,293159.44,1139.04,1141.87,no,yes
241,0.486790,0.62641279,0.006884,293568.63,293559.41,1342.86,1335.71,no,yes
242,0.343600,0.73115066,0.004859,293425.44,293416.15,2063.25,1747.64,no,yes
243,1.451218,0.14673984,0.020523,293468.93,293414.55,3316.55,1744.11,no,yes
244,-0.386700,0.69898256,-0.005469,293417.13,293436.76,3279.94,3874.98,no,yes
245,0.708344,0.47874007,0.010017,293419.28,293396.40,2356.62,2208.63,no,yes
246,0.742293,0.45791960,0.010498,293478.75,293461.65,1879.23,1333.50,no,yes
