run,type,time_ns
494,fixed,440938
494,random,414886
495,fixed,421774
495,random,426178
496,fixed,417198
496,random,420200
497,fixed,427430
497,random,439949
498,fixed,423706
498,random,431452
499,fixed,420693
499,random,417714
500,fixed,427391
500,random,414187
501,fixed,419873
501,random,417517
502,fixed,433481
502,random,422746
503,fixed,417517
503,random,394492
504,fixed,414395
504,random,430674
505,fixed,421040
505,random,559408
506,fixed,433086
506,random,433676
507,fixed,433306
507,random,421152
508,fixed,445016
508,random,423505
509,fixed,440538
509,random,425968
510,fixed,419010
510,random,415243
511,fixed,416450
511,random,426946
512,fixed,413320
512,random,416816
513,fixed,423566
513,random,420746
514,fixed,421410
514,random,421083
515,fixed,417814
515,random,419215
516,fixed,433528
516,random,433832
517,fixed,445610
517,random,445153
518,fixed,421094
518,random,432517
519,fixed,419433
519,random,417162
520,fixed,413552
520,random,418775
521,fixed,423730
521,random,421197
522,fixed,414745
522,random,421258
523,fixed,434742
523,random,427369
524,fixed,421993
524,random,431068
525,fixed,427917
525,random,539641
526,fixed,428032
526,random,428373
527,fixed,422494
527,random,432329
528,fixed,419911
528,random,423303
529,fixed,422950
529,random,403527
530,fixed,425670
530,random,429159
531,fixed,431649
531,random,431435
532,fixed,425610
532,random,429113
533,fixed,431774
533,random,436722
534,fixed,425566
534,random,422647
535,fixed,413452
535,random,413960
536,fixed,438249
536,random,433753
537,fixed,422560
537,random,428218
538,fixed,428967
538,random,433289
539,fixed,431043
539,random,436005
540,fixed,437824
540,random,427779
541,fixed,424439
541,random,420546
542,fixed,425800
542,random,424256
543,fixed,431101
543,random,422899
544,fixed,530954
544,random,438212
545,fixed,431469
545,random,421203
546,fixed,418793
546,random,421579
547,fixed,429936
547,random,427130
548,fixed,422254
548,random,426342
549,fixed,426643
549,random,424562
550,fixed,428457
550,random,423704
551,fixed,428669
551,random,424405
552,fixed,428609
552,random,417186
553,fixed,429139
553,random,441987
554,fixed,425218
554,random,421860
555,fixed,438672
555,random,432759
556,fixed,419188
556,random,435650
557,fixed,423661
557,random,423176
558,fixed,423031
558,random,412906
559,fixed,430852
559,random,428630
560,fixed,432031
560,random,431259
561,fixed,421493
561,random,419127
562,fixed,421238
562,random,442258
563,fixed,423682
563,random,432564
564,fixed,437836
564,random,428771
565,fixed,426955
